id,name,time,gender,is_work_influenced,confirmation_status,work_type,data_source,description,fb_followers,fb_pagelink,is_certified,twitter_name,twitter_pagelink,tweets,twitter_location,twitter_since,twitter_intro,twitter_follows,twitter_followers
465,Neil deGrasse Tyson,10/8/2014,1,0,2,Other,Frankie Shaw,"One woman has said he raped her, and two others say he subjected them to unwanted touching or advances. StarTalk has been put on hiatus pending a Fox Networks Group investigation into the allegations.","5,200,064",https://www.facebook.com/neildegrassetyson/,1,Neil deGrasse Tyson,https://twitter.com/neiltyson,"7,254 則推文",New York City,已加入 2009年1月,Astrophysicist,39,"1,449.5萬"
464,Cristiano Ronaldo,4/19/2017,1,0,2,Other,Frankie Shaw,"A woman has said that he raped her. She is suing, and authorities are investigating.","148,258,256",https://www.facebook.com/Cristiano/,1,Cristiano Ronaldo,https://twitter.com/Cristiano,"3,653 則推文","Turim, Piemonte",已加入 2010年6月,This Privacy Policy addresses the collection and use of personal information - http://cristianoronaldo.com/terms,56,"9,136.9萬"
442,Earl K. Sneed,2/20/2018,1,1,0,Other,Frankie Shaw,"A former Dallas Mavericks co-worker reported that when they dated, he hit her. He also pleaded guilty to a previous family violence assault charge. He has been fired.",FALSE,FALSE,1,Earl K. Sneed,https://twitter.com/EarlKSneed,8萬 則推文,NBA courts and red carpets,已加入 2009年4月,Earl K. Sneed has appeared on http://NBA.com and NBA TV. God’s child. Linda’s son. Tamesha’s husband. Elias’ dad. ΚΑΨ.,466,1.9萬
425,Donald Trump,10/15/2017,1,0,0,Politics,Frankie Shaw,"More than a dozen women have accused him of sexual assault, harassment, or other misconduct.","4,485,253",https://www.facebook.com/DonaldJTrumpJr/,1,Twitter,https://twitter.com/Twitter,1.4萬 則推文,everywhere,已加入 2007年2月,What's happening?!,10,"5,927.8萬"
424,George H.W. Bush,10/25/2017,1,0,0,Politics,Frankie Shaw,Multiple women have said he groped them during photo ops.,FALSE,FALSE,1,George Bush,https://twitter.com/GeorgeHWBush,105 則推文,"Houston, TX",已加入 2012年1月,"A tribute site to the 41st President of the United States of America. Learn more at 
@BushFdn
.",20,33萬
378,Justin Caldbeck,6/23/2017,1,1,0,Business & Tech,Frankie Shaw,Multiple women have said he made unwanted advances toward them. He has resigned from Binary Capital.,FALSE,FALSE,0,Justin Caldbeck,https://twitter.com/caldbeckj,"3,687 則推文",,已加入 2011年11月,"Proud Husband & Father.
@duke_MBB
. VC/angel 
@grubhub
 @snap
 @boomaero
 @opendoor
 @eightfoldai
 @stitchfix
 @mainstreetwork
 @spacex
 @collective
 @imperfect_foods","5,474","7,740"
409,Borris Miles,12/6/2017,1,0,0,Politics,Frankie Shaw,"Multiple people have said that he subjected women to unwanted advances, sexual comments, or forcible kissing.",FALSE,FALSE,1,Texas State Senator Borris L. Miles,https://twitter.com/BorrisLMiles,"2,243 則推文","Houston, Texas",已加入 2009年6月,Senator Borris L. Miles is a member of the Texas Senate representing District 13. Contact: Borris.Miles@Senate.Texas.gov | 512-463-0113,820,"4,492"
406,Dan Johnson,12/12/2017,1,1,1,Politics,Frankie Shaw,A woman reported that he sexually assaulted her when she was 17. He killed himself shortly after the allegations were published.,FALSE,FALSE,1,Daniel Johnson MSP,https://twitter.com/DJohnsonMSP,1.2萬 則推文,"Edinburgh, Scotland",已加入 2010年4月,Scottish Labour MSP for Edinburgh Southern. #ITakeMyPillsBecause I have ADHD. Please email for constituency queries: Daniel.Johnson.MSP@Parliament.scot,"2,213","6,407"
405,Ed Murray,12/14/2017,1,0,0,Politics,Frankie Shaw,A woman says that he sexually assaulted her.,FALSE,FALSE,1,Ed Murray,https://twitter.com/MayorEdMurray,"5,558 則推文","Seattle, WA",已加入 2013年11月,"This is an archive of the Murray Administration account maintained by 
@CityofSeattle",931,3.8萬
404,Bobby Scott,12/15/2017,1,0,0,Politics,Frankie Shaw,A woman reports that he sexually harassed her.,"22,914",https://www.facebook.com/RepBobbyScott/,1,Rep. Bobby Scott,https://twitter.com/BobbyScott,"6,980 則推文","Newport News, VA",已加入 2010年7月,"Proudly representing Virginia's 3rd Congressional District. Chairman, Committee on Education and Labor 
@EdLaborCmte
. Wear a mask.","3,076",4.4萬
301,Hadrian Belove,8/23/2017,1,1,0,Arts & Entertainment,Frankie Shaw,"A woman has reported that he sexually harassed her, and others say he judged female employees on their looks and dated subordinates. He has resigned.",FALSE,FALSE,0,Hadrian Belove,https://twitter.com/hadrianbelove,"1,622 則推文",,已加入 2008年8月,Play Nice.,"1,006",853
302,Shadie Elnashai,8/23/2017,1,1,0,Arts & Entertainment,Frankie Shaw,Multiple people have said he inappropriately touched or pursued female subordinates. He has resigned.,FALSE,FALSE,0,Shadie Elnashai,https://twitter.com/shadie83,364 則推文,Los Angeles,已加入 2013年5月,Shadie = My Real Name // Credits: Producer. Magician. Pro Fun Guy.,238,270
463,T. Florian Jaeger,9/8/2017,1,0,2,Other,Frankie Shaw,"Multiple people reported that he sexually harassed or created a hostile environment for graduate students. He is on leave, and an independent investigation has been launched.",FALSE,FALSE,0,T. Florian Jaeger,https://twitter.com/_hlplab_,"1,198 則推文","New York, USA",已加入 2012年8月,!= 280 characters,384,775
