id,name,time,gender,twitter_name,tweets,twitter_location,twitter_follows,twitter_followers
464,Cristiano Ronaldo,2017/04/19,1,Cristiano Ronaldo,3653,"Turim, Piemonte",56,91369000
312,Ryan Seacrest,2018/02/26,1,Ryan Seacrest,17000,"New York, NY",572,15404000
465,Neil deGrasse Tyson,2014/10/08,1,Neil deGrasse Tyson,7254,New York City,39,14495000
240,Aziz Ansari,2018/01/13,1,Aziz Ansari,7586,"New York, NY",0,10350000
360,Sean Hannity,2017/04/21,1,Sean Hannity,11000,NYC,6,5338000
133,Russell Simmons,2017/11/19,1,Russell Simmons,68000,,997,4525000
10,Kevin Spacey,2017/10/29,1,Kevin Spacey,2089,London - NYC - LA,31,4205000
242,Stan Lee,2018/01/09,1,Stan Lee,8546,Los Angeles,322,3973000
271,George Takei,2017/11/10,1,George Takei,70000,"Broadway - New York, NY",966,3248000
361,Bill O'Reilly,2017/04/01,1,Bill O'Reilly,16000,,83,3168000
298,Ben Affleck,2017/10/10,1,Ben Affleck,499,,76,3062000
260,Sylvester Stallone,2017/11/16,1,Sylvester Stallone,2353,Los Angeles,33,2937000
117,Jeremy Piven,2017/10/30,1,Jeremy Piven,5270,On the road,461,2311000
306,Kimberly Guilfoyle,2018/07/27,2,Kimberly Guilfoyle,9713,New York,"2,926",1782000
376,Chris Sacca,2017/06/30,1,Chris Sacca,78000,"Jackson, Wyoming",979,1675000
213,Luc Besson,2018/05/19,1,Luc Besson,430,,65,1482000
234,David Copperfield,2018/01/25,1,David Copperfield,12000,"Las Vegas, NV",610,1026000
18,Ed Westwick,2017/11/06,1,Ed Westwick,1401,,133,1005000
36,Al Franken,2017/11/16,1,Al Franken,3757,Minnesota,4.2萬,965000
350,David Corn,2017/11/02,1,David Corn,82000,"Washington, DC","1,900",937000
291,David Blaine,2017/10/19,1,David Blaine,6,New York,3,800000
281,Nick Carter,2017/11/02,1,Nick Carter,16000,出生於 1月28日,"2,324",671000
233,Scott Baio,2018/01/27,1,Scott Baio,22000,"West Valley, CA",2萬,594000
83,Lawrence M. Krauss,2018/02/22,1,Lawrence M. Krauss,14000,,134,487000
205,Michael Weatherly,2018/12/13,1,Michael Weatherly,3565,,254,463000
173,James Dashner,2018/02/07,1,James Dashner,13000,,848,438000
377,Dave McClure,2017/06/30,1,Dave McClure,84000,"Cupertino, CA",1.9萬,355000
41,Glenn Thrush,2017/11/20,1,Glenn Thrush,39000,,"4,998",347000
149,Tavis Smiley,2017/12/13,1,Tavis Smiley,13000,Los Angeles,2.2萬,321000
309,Tom Brokaw,2018/04/26,1,Tom Brokaw,485,"New York, NY",44,315000
8,Mark Halperin,2017/10/26,1,Mark Halperin,27000,"New York, NY","7,624",311000
111,Terry Richardson,2017/10/23,1,Terry Richardson,18000,New York City,6,305000
145,Ryan Lizza,2017/12/11,1,Ryan Lizza,20000,D.C.,"3,675",297000
121,Brett Ratner,2017/11/01,1,Brett Ratner,7010,Los Angeles/NY/Miami,675,219000
23,Louis C.K.,2017/11/09,1,Louis C.K.,6014,,377,210000
155,James Rosen,2017/12/22,1,James Rosen,27000,"Washington, D.C.",5.2萬,205000
297,Oliver Stone,2017/10/12,1,Oliver Stone,2099,Los Angeles,447,173000
40,Charlie Rose,2017/11/20,1,Charlie Rose,2451,New York,670,171000
132,Cameron Mitchell,2017/11/17,1,Cameron Mitchell,6529,"Los Angeles, CA",33,159000
144,Marshall Faulk,2017/12/11,1,Marshall Faulk,3393,EveryWhere,569,153000
192,Morgan Freeman,2018/05/24,1,Morgan Freeman,162,,32,151000
151,Morgan Spurlock,2017/12/14,1,Morgan Spurlock,10000,"New York, NY","5,854",139000
217,Allison Mack,2018/04/24,2,Allison Mack,6140,NYC,510,122000
268,Richard Dreyfuss,2017/11/10,1,Richard Dreyfuss,1422,,277,121000
