date,Neil deGrasse Tyson,Cristiano Ronaldo,isPartial,Earl K. Sneed,Donald Trump,George H.W. Bush,Justin Caldbeck,Borris Miles,Dan Johnson,Ed Murray,Bobby Scott,Hadrian Belove,Shadie Elnashai,T. Florian Jaeger,Corey Lewandowski,Cristina Garcia,Tony Cárdenas,Corey Coleman,David Marchant,Tom Frieden,David Keyes,Eric Bauman,Travis Kalanick,Dave McClure,Roman Polanski,Chris Sacca,Harold Ford Jr.,Bob Weinstein,Chris Savino,Cliff Hite,Lars von Trier,Andy Rubin,Bill O'Reilly,Scott Courtney,Tyler Grasham,Sean Hannity,James Toback,Terry Richardson,Caleb Jennings,Ethan Kath,Leon Wieseltier,Steve Jurvetson,Erick Guerrero,Eric Bolling,Knight Landesman,Ken Baker,Charles Payne,Rick Najera,Kirt Webster,Harry Knowles,Hamilton Fish,David Corn,Kaj Larsen,Ira Silverstein,John Hockenberry,Paul Whalen,Todd F. Heatherton,William M. Kelley,Adrian Carrasquillo,Dustin Hoffman,Jeff Hoover,Robert Moore,Ryan Seacrest,David Guillod,Kendall Fells,Alex Jones,Adam Venit,Howie Rubin,Jack Latvala,Michael Hafford,Tom Brokaw,Christian Rodriguez,Don Shooter,Dwayne Duron Marshall,Benjamin Genocchio,Dan Schoen,Jeffrey Tambor,Kimberly Guilfoyle,André Balazs,Jesse Lacey,Louis C.K.,Matthew Weiner,Roy Moore,"Robert ""R."" Kelly",Tony Cornish,Tony Mendoza,Nelly,Ben Affleck,Calvin Smyre,Eddie Berganza,Gary Goddard,Oliver Stone,Jann Wenner,Jim DeCesare,Larry Nassar,Michael Meredith,David Blaine,Nick Carter,Mark Schwahn,Peter Aalbæk Jensen,Tom Sizemore,Vince Ingenito,Andy Henry,Robert Knepper,Jeff Kruse,Steven Seagal,George Takei,Richard Dreyfuss,Wes Goodman,Ron Jeremy,David Sweeney,Matt Zimmerman,Randy Baumgardner,Stephen Bittel,Sylvester Stallone,Melanie Martinez,Murray Miller,Jon Heely,Stan Lee,Aziz Ansari,Bruce Weber,Raul Bocanegra,John Lasseter,Jean-Claude Arnault,Matt Lauer,Garrison Keillor,Michael Douglas,David Copperfield,Geoffrey Rush,Israel Horovitz,Justin Huff,Scott Baio,Daniel Handler,Josh Zepnick,Allison Mack,Dean Westlake,James Levine,Bryan Singer,Matt Dababneh,Peter Martins,Boyd Tinsley,Sam Isaly,Luc Besson,Carlos Uresti,Dylan Howard,Jonathan Schwartz,Leonard Lopate,Lorin Stein,Matt Manweller,Chris Hardwick,Joe Alexander,Trent Franks,Alex Kozinski,Michael Weatherly,Frankie Shaw,Morgan Freeman,Jonathan Kaiman,Jay Asher,Jim Walsh,Mario Batali,James Dashner,Patrick Witty,Tom Ashbrook,Ben Vereen,David Diaz,Ken Friedman,Tavis Smiley,Brad Kern,Rhys James,Mike Germano,Andrea Ramsey,James Rosen,Jerry Richardson,Max Ogden,Stephen Henderson,Daylin Leach,Morgan Spurlock,Chuck Close,Don Hazen,Dustin Marshall,Marcelo Gomes,Ike Taylor,Heath Evans,Andrew Creighton,Ryan Lizza,Marshall Faulk,Eric Davis,Charlie Hallowell,H. Brandt Ayers,Dan Harmon,Albert Schultz,Donovan McNabb,Steve Butts,Andy Savage,Ruben Kihuen,Kevin Braun,Shervin Pishevar,Jeremy Tooker,Russell Simmons,Cameron Mitchell,Jeffrey Klein,James Franco,William G. Jacoby,Jason Mojica,Danny Masterson,Joel Kramer,Mario Testino,Brett Ratner,Ross Levinsohn,Patrick Meehan,Gordon Edelstein,Jeremy Piven,Barry Lubin,John Kenneally,Alexander Jones,Matt Mondanile,Zach Fansler,Burns Strider,Andy Signore,Dillon Bates,Charlie Walk,Dayan Candappa,John Copley,John Conyers Jr.,Jeff Franklin,Lawrence M. Krauss,Paul Marciano,Joseph M. Souki,Vincent Cirrincione,Bradley Garner,Daniel Zwerdling,Alec Klein,Javier Palomarez,Paul Shapiro,Ed Crane,Sean Hutchison,Wayne Pacelle,Steve Wynn,Eric Greitens,Andre Passos,David Bellemere,Greg Kadel,Karl Templer,Patrick Demarchelier,Seth Sabal,Nicholas Kettle,Paul Haggis,Terdema Ussery,T.J. Miller,Eric Weinberger,Michael Feinberg,Philip Berk,David Sawyer,John Moore,Jorge Domínguez,Jorge I. Domínguez,Blake Farenthold,Duane Hall,Johnny Iuzzini,Tony Tooke,Sherman Alexie,Angel Arce,Richard Meier,Michael Ferro,Michael W. Ferro Jr.,Mike Isabella,Robert Reece,Bill Hybels,Nicholas Nixon,William D. Strampel,Keith Raniere,John Kricfalusi,Benjamin Sparks,Benton Strong,Glenn Thrush,Justin Parish,Charlie Rose,Al Franken,Clay Johnson,Junot Díaz,Nick Miccarelli,Eric Schneiderman,Roy Frumkes,Ameer Vann,Howard Kwait,George Tyndall,Paul Rosenthal,Steve Lebsock,Mohamed Muqtar,Robert Haufrecht,Brian Linder,"Roland G. Fryer, Jr.",Nate Boulton,Andrew Kreisberg,Lou Lang,Ed Westwick,Curt Anderson,Mark Mellor,Francisco J. Ayala,Curtis Hill,Demos Parneros,Antonin Kratochvil,Sam Adams,Rick Day,Bernard Uzan,William Preucil,Michael Oreskes,Mel Watt,Andy Dick,Nick Sauer,Kevin Spacey,Les Moonves,Avital Ronell,Asia Argento,Mark Halperin,Ron Carlson,Gerard Depardieu,Chase Finlay,Steven Wilder Striegel,Leslie Moonves,John Besh,Brett Kavanaugh,Amar Ramasar,Zachary Catazaro,Cody Wilson,Adam Berkowitz,Charles Schwertner,Albert J. Alvarez,Amit Singhal,Robert Scoble,Richard DeVaul,Roy Price,Lockhart Steele,Harvey Weinstein
2017-10-01,1,12,False,0,79,1,0,0,3,21,25,23,34,0,1,14,0,5,2,1,2,1,60,0,25,27,1,11,1,0,7,1,16,9,0,8,0,5,0,0,0,5,6,52,0,14,33,0,0,33,13,51,6,0,1,3,0,0,0,13,0,1,8,1,0,19,0,0,0,0,8,8,2,0,0,0,2,4,0,1,1,0,1,3,0,0,73,20,0,0,0,52,3,0,0,2,25,10,0,0,5,0,7,16,0,69,4,7,0,60,1,2,0,0,1,7,0,0,0,1,0,0,1,0,0,1,17,24,8,1,0,2,0,0,0,0,2,7,0,1,1,0,13,2,4,1,5,0,0,1,0,1,0,14,2,11,0,13,3,2,1,0,3,10,23,0,1,1,10,0,0,1,1,2,29,0,4,31,0,2,18,3,4,0,1,4,6,0,0,20,0,10,0,0,9,15,15,0,7,28,2,10,0,0,3,0,3,1,0,1,0,15,0,2,4,0,0,0,48,0,3,0,35,2,4,0,2,0,0,0,0,5,5,44,3,1,2,5,1,0,8,3,4,17,0,0,8,0,3,0,1,0,1,18,1,0,0,1,0,0,26,2,11,2,0,7,1,2,1,0,0,0,1,3,1,0,1,0,0,4,0,0,0,1,0,0,1,0,0,0,8,0,1,0,0,4,0,13,0,9,2,2,46,13,0,0,0,4,10,0,1,0,0,1,0,0,19,0,0,0,2,0,0,0,5,0,1,0,8,4,0,11,0,11
2017-10-08,1,12,False,0,90,1,0,1,3,22,21,12,0,0,1,14,0,5,4,1,1,1,34,0,41,33,2,100,0,0,9,1,15,8,0,8,0,6,0,1,0,6,4,53,0,17,62,1,0,36,12,54,3,0,1,0,0,0,0,12,0,1,9,1,0,11,0,0,2,0,1,11,1,0,0,0,3,9,0,1,1,0,1,3,0,0,100,94,0,0,1,100,1,0,0,2,21,13,0,0,4,0,5,11,0,55,5,7,0,59,2,5,1,0,2,7,0,0,0,1,0,0,2,0,0,1,14,22,7,1,1,1,0,0,0,0,3,14,0,1,1,0,13,3,7,2,2,0,0,1,0,0,0,8,2,62,0,13,2,2,0,0,4,14,23,0,1,2,12,0,1,1,1,5,22,0,4,29,0,4,16,3,5,0,1,5,5,0,0,25,0,24,0,1,1,17,14,0,5,33,4,8,0,0,2,0,3,1,1,3,0,11,0,0,3,4,0,0,100,0,3,0,26,0,9,0,4,0,0,0,0,8,0,39,3,1,1,13,1,0,12,3,4,30,0,0,11,0,1,1,1,0,2,18,0,0,1,1,1,1,21,2,13,2,0,9,2,3,1,0,0,0,0,1,1,1,1,1,0,8,1,1,0,1,0,0,1,1,0,0,0,0,2,0,0,4,0,13,0,14,1,1,46,14,0,0,0,0,10,0,1,0,0,32,0,0,26,0,0,0,2,0,0,6,3,0,0,0,8,3,0,89,0,100
2017-10-15,1,11,False,0,72,1,1,0,2,12,33,0,0,0,1,14,0,8,1,0,3,2,19,0,40,44,1,79,19,3,39,1,18,15,100,8,0,6,0,0,0,5,2,38,0,16,33,1,0,14,11,40,10,0,1,1,0,0,0,13,0,1,7,0,1,12,0,0,2,0,2,8,2,0,0,0,4,5,0,1,3,0,1,0,3,0,41,29,0,0,1,71,9,0,5,2,60,11,0,0,3,0,9,13,2,42,6,6,0,59,2,2,1,0,1,6,0,0,0,1,0,0,1,0,0,1,12,22,7,2,1,2,0,0,1,0,3,16,0,1,1,0,13,9,3,7,1,0,1,1,1,0,0,8,2,32,0,10,2,2,0,0,5,6,21,0,1,1,6,0,1,1,0,2,20,0,3,35,0,2,23,3,10,0,2,6,5,4,0,16,0,12,0,1,1,5,5,0,4,39,2,9,0,0,2,0,2,1,0,1,0,7,0,0,3,12,0,0,18,1,3,0,17,0,9,0,2,0,0,1,0,3,7,44,3,0,1,3,1,0,29,2,7,23,1,0,8,0,3,0,3,0,1,19,0,0,1,0,0,0,23,2,13,2,0,11,1,4,0,0,6,0,1,3,1,1,1,1,0,3,0,0,0,2,0,0,1,3,0,0,24,0,1,0,1,3,0,6,14,12,0,2,40,12,0,0,0,1,14,0,1,0,0,11,0,0,40,0,0,0,6,0,0,0,4,0,0,0,10,59,0,86,13,45
2017-10-22,1,17,False,0,68,8,1,0,2,15,25,0,23,0,1,15,0,10,1,1,2,1,36,1,23,22,0,9,10,1,11,1,100,8,86,11,56,100,0,100,37,31,22,100,11,67,65,3,0,18,23,61,4,0,1,16,0,0,0,11,0,1,6,1,0,10,0,0,1,0,3,10,1,0,0,0,4,5,0,2,1,0,1,3,3,0,37,22,0,0,0,60,17,0,0,3,33,11,0,0,5,0,9,13,11,41,5,7,0,55,2,1,0,0,2,6,0,0,0,1,0,1,1,0,0,1,12,25,6,0,1,2,0,0,1,0,2,10,0,0,1,0,11,2,4,5,4,8,0,2,0,1,0,9,6,10,0,12,4,3,0,0,3,12,25,0,1,1,3,0,1,0,1,3,17,0,4,34,0,2,18,3,3,0,1,4,7,0,0,13,1,23,0,1,1,9,9,0,4,32,3,7,0,0,2,0,3,1,0,2,0,7,2,2,3,4,0,0,49,0,3,0,25,0,5,0,1,0,0,1,0,2,2,53,1,1,1,3,1,0,21,3,4,17,1,0,6,0,2,6,1,0,1,19,0,0,1,0,0,0,23,1,11,2,0,12,2,2,1,0,4,0,1,0,1,0,1,1,0,4,0,1,0,1,0,1,4,0,0,0,0,0,4,0,0,3,0,13,0,15,1,2,43,12,1,0,0,1,10,0,1,0,0,6,10,0,44,0,0,0,100,0,0,0,3,0,3,0,11,100,1,24,7,14
2017-10-29,1,12,False,0,78,2,0,0,3,15,29,11,23,0,5,16,0,15,0,2,3,1,28,0,36,100,1,7,5,0,9,1,14,8,34,13,12,21,0,22,17,6,13,28,9,46,30,1,100,8,39,99,4,11,1,69,5,9,3,100,1,2,6,70,8,12,2,100,15,2,4,6,1,0,0,0,3,4,0,2,1,0,1,5,0,0,36,21,0,0,1,40,9,0,0,2,25,9,0,0,5,0,8,13,1,40,7,11,0,74,1,7,1,0,1,5,0,0,0,2,0,0,1,0,0,2,11,24,7,2,0,2,0,0,0,0,3,37,0,1,0,0,15,3,11,3,5,8,0,2,0,0,0,10,8,10,0,16,4,2,1,1,4,16,16,0,1,1,6,0,0,0,1,7,17,1,3,35,0,1,25,2,2,0,1,4,5,0,0,9,1,9,0,0,0,14,8,0,4,32,2,8,0,0,34,0,4,40,0,2,0,100,2,0,3,2,1,0,21,0,4,0,35,0,8,0,2,0,1,1,0,0,2,48,3,0,1,2,1,0,100,8,14,18,1,0,6,0,3,4,1,0,1,20,1,0,1,0,0,1,22,2,12,3,0,7,0,2,0,0,2,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,16,0,1,0,0,3,0,6,13,15,0,3,89,11,0,0,100,0,74,0,100,0,0,3,2,0,27,0,0,0,16,0,0,1,3,0,0,0,4,17,0,18,4,9
2017-11-05,1,10,False,0,67,1,0,0,3,18,35,0,0,0,2,16,0,17,0,2,2,0,27,0,26,54,0,5,4,0,8,1,10,9,13,10,5,10,0,7,8,3,9,22,3,23,27,2,16,7,20,55,1,4,0,7,0,0,3,36,1,1,5,100,2,11,9,27,14,1,3,9,10,100,52,3,34,4,1,34,44,0,27,3,87,0,37,23,0,2,100,48,39,0,2,4,30,10,0,0,4,6,6,100,3,100,82,100,0,62,1,3,1,0,1,5,0,0,0,2,0,0,1,0,0,1,13,21,5,1,1,1,0,0,21,0,2,24,0,2,1,0,16,2,31,5,4,9,0,3,0,1,0,8,22,9,0,14,5,2,0,0,2,13,25,0,2,2,4,0,0,0,1,0,22,0,3,33,0,0,16,2,5,0,1,4,5,2,0,11,0,14,0,1,0,8,58,0,4,31,3,8,0,0,20,0,3,29,0,2,0,62,0,0,3,1,0,0,9,0,4,0,25,0,7,1,2,0,1,1,0,5,0,68,1,1,0,2,2,0,64,2,0,23,0,0,5,0,4,0,1,0,1,27,0,0,1,0,1,0,21,2,15,2,0,4,3,2,1,0,24,0,2,3,0,0,1,1,0,1,0,0,0,1,0,1,3,19,0,0,100,0,1,25,0,100,0,6,0,10,1,1,78,12,0,5,19,0,21,0,35,0,0,3,1,0,20,0,0,0,12,0,0,0,3,0,0,0,7,9,0,53,2,7
2017-11-12,1,18,False,0,76,3,1,0,2,16,36,55,100,0,2,15,0,14,1,2,3,1,27,0,26,22,1,3,2,0,10,1,8,7,3,23,3,13,0,5,8,100,4,19,1,34,32,2,5,5,17,54,36,1,0,7,0,0,0,15,0,3,11,33,0,10,24,3,6,0,3,14,6,10,6,1,37,3,0,100,16,0,53,5,56,0,36,39,0,6,26,35,17,0,1,1,26,9,53,1,100,100,11,27,6,45,96,33,54,92,3,88,1,0,2,5,1,0,0,2,0,0,2,0,0,1,11,23,5,2,0,1,0,0,8,0,2,9,0,1,0,0,15,1,5,2,4,3,0,1,0,1,0,7,18,9,0,13,2,2,0,0,3,11,21,0,1,1,7,0,1,0,1,6,13,0,3,42,0,1,19,4,3,0,1,4,5,0,0,8,1,12,0,1,1,8,15,0,4,41,1,9,0,1,18,0,3,100,1,1,0,23,0,6,3,1,0,0,6,0,5,0,32,0,6,0,2,0,1,1,0,5,2,30,1,0,2,3,1,0,96,3,3,22,0,1,4,0,4,0,1,0,1,26,1,0,3,0,0,0,22,9,15,2,0,9,2,1,1,0,7,0,2,0,1,0,1,76,0,3,0,0,0,1,0,0,9,20,0,0,31,0,1,100,0,22,0,6,0,12,1,0,53,9,1,5,7,3,18,0,11,0,0,2,0,0,20,0,0,0,9,0,0,0,3,0,4,0,7,7,0,21,3,3
2017-11-19,1,12,False,0,60,1,0,0,2,19,24,0,0,0,1,13,0,14,2,1,2,1,49,0,100,41,0,4,2,0,8,1,8,7,1,7,1,8,0,2,3,27,2,20,0,26,26,1,2,4,14,42,8,0,1,3,0,0,0,10,0,2,20,6,1,9,5,3,2,0,3,7,2,6,19,3,100,5,0,9,4,0,18,0,100,0,50,38,0,1,3,78,7,0,3,1,22,100,6,1,11,5,8,17,0,34,14,10,46,73,3,12,2,0,1,5,2,0,0,1,0,3,100,0,0,1,13,25,6,0,0,2,0,0,2,0,2,4,0,2,0,0,17,2,7,2,2,8,2,2,0,0,0,8,13,10,0,13,2,3,0,0,2,14,25,0,1,1,5,0,1,0,0,1,25,0,2,22,0,1,18,2,2,0,1,5,4,0,0,9,1,17,0,1,0,10,13,0,53,28,2,10,0,0,13,0,3,14,0,1,0,30,3,2,4,0,0,0,5,0,6,0,14,11,6,0,3,0,0,0,0,0,7,35,2,1,3,2,1,0,28,2,4,12,0,0,4,0,3,0,0,0,2,24,0,0,1,0,2,0,13,3,7,2,0,6,3,1,1,0,2,0,1,0,100,0,100,26,0,3,0,1,0,1,0,0,2,3,0,0,15,0,2,7,0,10,0,12,13,12,0,4,45,8,0,0,8,1,23,0,4,0,0,1,1,0,21,0,0,0,7,0,0,1,4,0,0,0,4,5,0,13,2,3
2017-11-26,1,11,False,0,78,2,0,0,2,17,36,0,11,0,1,10,0,10,0,1,2,0,33,0,19,23,0,3,2,0,7,5,21,8,2,9,1,6,0,2,4,6,1,30,0,38,35,0,2,8,18,47,1,1,7,2,0,0,3,10,0,2,8,2,0,10,1,3,4,0,3,7,0,0,0,1,14,4,0,5,3,0,14,5,15,0,37,26,0,0,4,49,6,0,0,3,26,32,3,0,6,1,11,14,1,31,9,6,6,59,9,100,1,0,1,5,0,0,0,1,0,2,18,0,100,100,10,25,35,100,22,2,0,0,1,0,3,13,0,2,1,0,15,1,7,2,3,7,0,1,1,0,0,5,14,11,0,13,3,3,1,0,4,10,24,0,1,1,10,0,0,1,0,1,10,0,2,35,0,2,16,4,4,0,1,5,5,4,0,15,1,16,1,1,20,9,82,0,100,42,1,11,0,0,10,0,3,4,1,2,0,27,3,0,3,0,0,0,4,0,8,0,29,7,9,0,5,0,0,0,0,2,5,35,3,0,0,2,1,0,19,3,4,20,0,1,4,0,2,2,1,0,2,22,0,0,63,0,9,0,20,2,13,2,0,14,2,2,0,0,1,0,1,0,17,1,15,11,0,4,1,0,0,1,0,0,2,4,0,0,0,0,3,35,0,7,0,12,0,9,0,3,40,9,1,0,14,1,21,0,3,0,0,1,1,0,16,0,0,0,7,0,0,0,3,0,1,0,13,4,0,16,1,3
2017-12-03,1,17,False,0,86,1,1,1,2,12,29,0,0,0,9,11,0,6,1,1,5,1,33,0,18,29,20,3,1,0,6,1,11,8,5,7,2,7,0,1,4,11,1,21,1,21,39,0,3,3,15,54,5,0,100,4,0,0,0,48,1,2,5,4,0,10,5,0,8,0,3,7,1,0,0,0,11,4,0,4,2,0,27,5,8,0,36,26,0,0,12,31,4,0,2,3,28,18,2,0,4,5,9,27,1,29,12,7,2,55,3,8,0,0,1,100,0,0,0,1,1,0,9,0,13,9,13,21,33,16,8,3,0,0,1,0,100,100,5,39,0,2,15,8,58,39,100,100,9,1,1,100,9,6,19,13,0,14,4,3,1,0,42,9,26,0,2,0,7,0,0,1,0,9,30,0,3,29,0,1,22,6,4,0,1,5,5,0,0,11,1,19,0,1,18,17,100,0,19,35,4,16,0,0,100,0,3,2,0,3,0,12,2,0,4,0,0,1,2,1,10,0,27,9,8,0,2,0,0,1,0,2,2,52,3,0,2,2,1,0,16,0,4,21,0,1,3,0,3,0,0,0,2,25,0,0,76,1,9,1,17,2,11,1,0,8,2,1,1,0,1,0,1,1,6,0,4,46,0,0,0,1,0,1,0,1,2,1,0,0,8,0,1,7,0,6,0,0,0,10,1,0,37,9,0,5,6,1,12,0,3,0,0,1,0,0,22,0,0,0,6,0,0,3,2,1,1,0,5,3,0,21,1,3
