date,Robert Moore + metoo,Robert Moore + sexual harassment,Robert Moore + sexual,Robert Moore + healmetoo,Robert Moore + assault,Robert Moore + rape,Robert Moore + harassed,Sam Adams + metoo,Sam Adams + sexual harassment,Sam Adams + sexual,Sam Adams + healmetoo,Sam Adams + assault,Sam Adams + rape,Sam Adams + harassed,Steven Seagal + metoo,Steven Seagal + sexual harassment,Steven Seagal + sexual,Steven Seagal + healmetoo,Steven Seagal + assault,Steven Seagal + rape,Steven Seagal + harassed,Ed Murray + metoo,Ed Murray + sexual harassment,Ed Murray + sexual,Ed Murray + healmetoo,Ed Murray + assault,Ed Murray + rape,Ed Murray + harassed,Chuck Close + metoo,Chuck Close + sexual harassment,Chuck Close + sexual,Chuck Close + healmetoo,Chuck Close + assault,Chuck Close + rape,Chuck Close + harassed,Clay Johnson + metoo,Clay Johnson + sexual harassment,Clay Johnson + sexual,Clay Johnson + healmetoo,Clay Johnson + assault,Clay Johnson + rape,Clay Johnson + harassed,Paul Shapiro + metoo,Paul Shapiro + sexual harassment,Paul Shapiro + sexual,Paul Shapiro + healmetoo,Paul Shapiro + assault,Paul Shapiro + rape,Paul Shapiro + harassed,John Moore + metoo,John Moore + sexual harassment,John Moore + sexual,John Moore + healmetoo,John Moore + assault,John Moore + rape,John Moore + harassed,Stephen Henderson + metoo,Stephen Henderson + sexual harassment,Stephen Henderson + sexual,Stephen Henderson + healmetoo,Stephen Henderson + assault,Stephen Henderson + rape,Stephen Henderson + harassed,David Sweeney + metoo,David Sweeney + sexual harassment,David Sweeney + sexual,David Sweeney + healmetoo,David Sweeney + assault,David Sweeney + rape,David Sweeney + harassed,Ed Crane + metoo,Ed Crane + sexual harassment,Ed Crane + sexual,Ed Crane + healmetoo,Ed Crane + assault,Ed Crane + rape,Ed Crane + harassed,Kevin Braun + metoo,Kevin Braun + sexual harassment,Kevin Braun + sexual,Kevin Braun + healmetoo,Kevin Braun + assault,Kevin Braun + rape,Kevin Braun + harassed,Daniel Handler + metoo,Daniel Handler + sexual harassment,Daniel Handler + sexual,Daniel Handler + healmetoo,Daniel Handler + assault,Daniel Handler + rape,Daniel Handler + harassed,Cristiano Ronaldo + metoo,Cristiano Ronaldo + sexual harassment,Cristiano Ronaldo + sexual,Cristiano Ronaldo + healmetoo,Cristiano Ronaldo + assault,Cristiano Ronaldo + rape,Cristiano Ronaldo + harassed,Luc Besson + metoo,Luc Besson + sexual harassment,Luc Besson + sexual,Luc Besson + healmetoo,Luc Besson + assault,Luc Besson + rape,Luc Besson + harassed,Curt Anderson + metoo,Curt Anderson + sexual harassment,Curt Anderson + sexual,Curt Anderson + healmetoo,Curt Anderson + assault,Curt Anderson + rape,Curt Anderson + harassed,Nick Carter + metoo,Nick Carter + sexual harassment,Nick Carter + sexual,Nick Carter + healmetoo,Nick Carter + assault,Nick Carter + rape,Nick Carter + harassed,Sherman Alexie + metoo,Sherman Alexie + sexual harassment,Sherman Alexie + sexual,Sherman Alexie + healmetoo,Sherman Alexie + assault,Sherman Alexie + rape,Sherman Alexie + harassed,Ron Jeremy + metoo,Ron Jeremy + sexual harassment,Ron Jeremy + sexual,Ron Jeremy + healmetoo,Ron Jeremy + assault,Ron Jeremy + rape,Ron Jeremy + harassed,Roy Price + metoo,Roy Price + sexual harassment,Roy Price + sexual,Roy Price + healmetoo,Roy Price + assault,Roy Price + rape,Roy Price + harassed,Donovan McNabb + metoo,Donovan McNabb + sexual harassment,Donovan McNabb + sexual,Donovan McNabb + healmetoo,Donovan McNabb + assault,Donovan McNabb + rape,Donovan McNabb + harassed,Dean Westlake + metoo,Dean Westlake + sexual harassment,Dean Westlake + sexual,Dean Westlake + healmetoo,Dean Westlake + assault,Dean Westlake + rape,Dean Westlake + harassed,David Diaz + metoo,David Diaz + sexual harassment,David Diaz + sexual,David Diaz + healmetoo,David Diaz + assault,David Diaz + rape,David Diaz + harassed,Morgan Freeman + metoo,Morgan Freeman + sexual harassment,Morgan Freeman + sexual,Morgan Freeman + healmetoo,Morgan Freeman + assault,Morgan Freeman + rape,Morgan Freeman + harassed,Michael Meredith + metoo,Michael Meredith + sexual harassment,Michael Meredith + sexual,Michael Meredith + healmetoo,Michael Meredith + assault,Michael Meredith + rape,Michael Meredith + harassed,David Blaine + metoo,David Blaine + sexual harassment,David Blaine + sexual,David Blaine + healmetoo,David Blaine + assault,David Blaine + rape,David Blaine + harassed,Justin Caldbeck + metoo,Justin Caldbeck + sexual harassment,Justin Caldbeck + sexual,Justin Caldbeck + assault,Justin Caldbeck + rape,Justin Caldbeck + harassed,Dustin Hoffman + metoo,Dustin Hoffman + sexual harassment,Dustin Hoffman + sexual,Dustin Hoffman + healmetoo,Dustin Hoffman + assault,Dustin Hoffman + rape,Dustin Hoffman + harassed,Kimberly Guilfoyle + metoo,Kimberly Guilfoyle + sexual harassment,Kimberly Guilfoyle + sexual,Kimberly Guilfoyle + healmetoo,Kimberly Guilfoyle + assault,Kimberly Guilfoyle + rape,Kimberly Guilfoyle + harassed,Bruce Weber + metoo,Bruce Weber + sexual harassment,Bruce Weber + sexual,Bruce Weber + healmetoo,Bruce Weber + assault,Bruce Weber + rape,Bruce Weber + harassed
2017-10-01,4,24,71,42,63,70,27,12,30,71,45,66,71,50,42,48,74,68,75,74,69,3,22,71,42,63,70,22,5,24,71,33,63,71,28,3,22,71,39,64,71,22,3,21,71,45,63,70,22,8,26,71,18,63,71,26,3,22,71,32,63,70,23,3,21,71,16,63,70,21,2,21,71,20,63,71,20,3,21,71,20,63,70,21,2,21,71,6,63,70,20,12,13,34,12,21,35,12,8,26,72,13,64,70,19,2,21,71,7,63,70,20,8,18,70,10,64,71,15,6,25,71,26,64,71,33,12,31,71,59,65,71,49,4,22,71,11,63,71,17,4,23,71,11,64,71,22,2,21,71,0,63,71,20,4,22,71,51,64,71,26,11,13,56,11,36,62,11,3,22,71,61,63,70,23,8,26,71,25,64,71,28,2,21,71,63,71,20,13,18,71,13,61,72,15,6,20,71,4,64,71,8,3,21,71,5,63,70,23
2017-10-08,5,42,81,48,59,77,42,12,48,81,45,62,78,59,34,52,82,54,65,80,59,3,42,81,54,59,78,39,4,42,82,33,59,77,42,3,42,81,53,59,78,39,2,41,81,35,59,77,38,7,45,81,18,59,77,34,2,42,81,22,59,77,38,2,41,81,26,59,78,38,2,41,81,20,59,77,37,2,41,81,21,59,77,38,2,41,81,11,59,77,38,12,14,36,12,20,38,12,7,45,81,12,60,77,24,2,41,81,7,59,77,36,10,32,81,13,60,78,21,5,43,81,21,59,77,43,12,48,81,59,61,77,57,15,54,83,91,63,79,62,6,44,82,24,60,78,45,2,41,81,0,59,77,37,3,42,81,51,59,78,42,61,66,86,63,71,89,63,2,41,81,43,59,78,38,7,44,82,22,60,78,34,2,41,81,59,78,37,12,25,81,12,56,78,16,10,40,82,9,61,78,16,3,40,81,6,59,78,40
2017-10-15,82,65,89,52,68,74,100,81,68,89,40,70,74,98,81,57,88,42,70,76,64,82,65,89,29,67,74,100,83,67,89,38,68,74,100,82,65,89,39,68,74,100,82,65,89,43,68,74,100,81,66,89,20,68,74,69,82,66,89,20,68,74,100,82,64,89,17,68,74,100,82,65,89,21,68,74,100,82,65,89,6,68,74,100,82,65,89,18,68,74,100,15,14,39,11,20,36,12,82,67,89,13,68,74,49,82,65,89,22,68,74,100,81,46,88,11,69,74,38,82,67,89,24,68,74,100,74,69,89,59,70,74,100,91,75,90,85,71,75,100,82,66,89,13,68,74,90,82,65,89,23,68,74,100,82,66,89,47,68,74,100,47,41,80,32,54,75,35,82,65,89,59,67,74,100,87,76,90,61,73,75,100,82,65,89,68,74,100,51,34,89,13,65,75,24,77,55,89,5,69,75,26,82,64,89,6,68,75,100
2017-10-22,38,54,83,55,60,74,41,42,59,83,42,62,75,56,49,51,83,40,65,77,46,36,53,83,34,60,75,36,37,55,83,37,60,74,42,36,53,83,30,60,74,36,36,53,83,51,60,74,37,40,55,83,19,60,75,34,36,53,83,19,60,74,36,36,52,83,18,60,74,36,36,53,83,5,60,74,35,36,53,83,13,60,74,36,36,53,83,12,60,74,37,18,19,41,17,25,40,17,40,55,83,12,62,75,23,35,53,83,14,60,74,35,41,39,83,11,61,74,20,38,55,84,23,60,75,44,38,58,84,54,62,74,53,38,55,83,24,61,75,32,39,56,84,23,61,75,44,36,53,84,0,60,74,35,37,54,84,53,60,74,41,15,16,64,10,35,64,11,36,53,84,66,60,74,37,41,59,83,34,62,75,42,36,53,84,60,74,37,29,29,83,11,57,75,15,36,47,84,5,60,75,12,37,52,84,8,60,74,40
2017-10-29,26,62,85,60,64,75,38,42,74,87,89,71,76,92,41,55,85,40,67,76,44,24,62,85,32,63,75,31,26,63,85,38,64,75,38,24,62,85,33,64,74,31,24,62,85,51,64,74,31,28,63,85,20,64,75,33,24,62,85,18,64,74,31,24,61,85,17,64,74,30,24,62,85,25,64,74,30,24,62,85,18,64,74,31,24,62,85,12,64,74,31,13,15,38,12,21,37,12,29,64,85,15,65,74,24,24,62,85,29,64,74,30,27,43,84,9,64,74,17,26,63,85,21,64,74,37,31,68,85,72,67,75,61,25,63,85,18,64,75,26,25,62,85,9,64,75,29,24,62,85,34,64,74,30,24,62,85,33,64,74,33,13,17,65,10,35,63,10,24,62,85,66,64,75,32,27,63,85,26,66,75,34,24,62,86,64,74,30,100,100,100,100,100,88,100,24,52,85,3,65,75,9,25,60,86,7,64,74,34
2017-11-05,26,67,95,56,82,73,37,40,76,96,77,86,74,84,73,100,100,100,100,80,100,24,66,95,45,81,73,31,25,67,95,36,81,73,37,24,66,94,41,81,73,31,24,66,95,62,82,73,32,31,69,95,27,82,74,37,24,66,95,22,81,73,31,24,65,95,17,82,73,30,24,66,95,10,81,73,29,24,66,95,11,82,73,30,24,66,95,22,81,73,32,11,13,39,10,22,35,11,30,69,95,17,83,73,25,24,66,95,42,81,73,30,28,46,94,10,82,73,17,26,67,95,22,82,73,37,28,68,95,58,84,74,52,31,72,95,51,84,74,41,26,67,95,14,82,73,32,24,66,95,0,81,73,29,25,66,95,54,82,73,35,12,17,70,9,42,62,10,24,67,95,88,82,73,33,29,68,95,30,84,74,37,24,66,95,81,73,29,41,48,97,36,86,78,36,24,55,95,4,82,73,10,24,64,95,6,81,73,32
2017-11-12,27,81,97,95,76,71,50,33,82,97,52,77,71,63,44,67,96,45,79,73,51,23,80,97,37,74,71,35,25,81,98,45,75,70,45,24,80,97,48,75,71,37,23,80,97,32,74,70,36,30,80,97,26,75,71,40,23,80,97,15,74,70,35,24,80,97,36,74,71,37,23,80,97,10,74,71,34,23,80,97,11,74,71,36,23,80,97,9,74,70,36,19,22,48,18,28,41,19,29,80,97,16,76,71,26,23,80,97,14,74,70,35,27,54,96,9,75,70,17,25,80,97,21,75,70,42,35,84,98,89,79,72,78,26,80,98,20,75,71,31,24,80,97,11,74,71,34,23,80,97,0,74,71,35,24,80,97,46,75,71,40,12,20,73,9,39,60,10,23,80,97,39,74,70,36,26,80,97,26,76,71,36,23,80,98,74,71,37,25,40,97,15,71,72,18,23,65,97,3,75,70,10,24,78,98,7,75,70,38
2017-11-19,27,76,89,61,64,69,38,33,78,89,45,66,69,56,39,59,88,34,65,70,39,26,76,89,49,63,69,33,26,76,89,23,63,69,33,25,76,89,26,63,69,31,25,76,89,37,63,69,32,31,78,89,24,65,69,36,25,77,89,21,63,69,32,26,75,89,27,63,69,31,25,76,89,15,63,69,31,25,76,89,12,63,69,31,25,76,89,11,63,69,31,13,15,39,12,20,34,12,32,79,89,18,65,69,26,25,76,89,7,63,69,30,84,100,95,100,86,76,100,26,76,89,13,63,69,32,32,79,89,71,67,69,64,26,76,89,13,63,69,24,27,77,89,17,64,69,35,25,76,89,0,63,69,30,27,77,89,53,64,69,36,13,21,68,10,36,60,11,25,76,89,44,63,69,31,28,76,89,22,65,69,31,25,76,89,63,69,31,22,36,87,10,60,70,13,27,64,89,5,64,69,11,26,74,89,5,64,69,32
2017-11-26,25,100,100,61,79,70,50,30,100,100,40,80,70,59,35,77,97,30,78,71,39,23,100,100,42,78,70,45,25,100,100,38,78,70,49,23,100,100,34,79,70,45,23,100,100,36,78,70,45,28,100,100,22,78,71,40,23,100,100,13,78,70,43,25,100,100,100,79,70,51,23,100,100,24,79,70,43,23,100,100,15,78,70,44,23,100,100,19,78,70,45,12,16,42,11,21,34,11,28,100,100,15,80,70,28,23,100,100,7,78,70,44,42,79,100,32,84,72,41,25,100,100,20,79,70,48,28,100,100,57,80,70,60,25,100,100,17,79,70,33,25,100,100,16,79,70,44,23,100,100,0,79,70,43,24,100,100,53,79,70,49,13,28,76,11,42,61,12,24,100,100,72,78,70,47,27,100,100,28,80,71,41,23,100,100,78,70,43,20,47,98,10,71,70,14,24,82,100,4,79,70,13,26,100,100,26,79,71,59
2017-12-03,31,80,90,71,71,75,50,33,79,89,37,72,75,55,37,59,88,29,70,75,36,27,79,90,35,70,75,41,28,80,90,32,71,75,44,27,79,90,31,71,75,41,27,79,90,52,71,75,41,33,80,89,26,71,75,42,27,80,90,31,71,75,43,27,78,90,28,71,75,41,27,79,90,25,71,75,39,27,79,90,19,71,75,41,27,79,90,14,71,74,41,19,21,44,17,26,40,18,33,80,90,16,72,75,27,27,79,90,21,71,75,39,36,57,89,18,73,75,26,28,79,90,18,70,75,43,31,79,90,55,72,75,55,29,81,90,20,71,75,33,30,80,90,19,71,75,42,27,80,90,100,71,75,40,28,80,90,56,71,75,45,16,26,70,13,40,65,13,27,79,90,78,70,75,43,31,79,91,29,72,75,40,27,80,90,71,75,43,53,72,96,48,85,83,49,28,66,90,4,71,75,12,34,82,91,49,73,76,71
