date,David Copperfield,Ed Westwick,Al Franken,David Corn,David Blaine,Nick Carter,Scott Baio,Lawrence M. Krauss,Michael Weatherly,James Dashner,Dave McClure,Glenn Thrush,Tavis Smiley,Tom Brokaw,Mark Halperin,Terry Richardson,Cristiano Ronaldo,Ryan Seacrest,Neil deGrasse Tyson,Aziz Ansari,Sean Hannity,Russell Simmons,Kevin Spacey,Stan Lee,George Takei,Bill O'Reilly,Ben Affleck,Sylvester Stallone,Jeremy Piven,Kimberly Guilfoyle,Chris Sacca,Luc Besson,Ryan Lizza,Brett Ratner,Louis C.K.,James Rosen,Oliver Stone,Charlie Rose,Cameron Mitchell,Marshall Faulk,Morgan Freeman,Morgan Spurlock,Allison Mack,Richard Dreyfuss,Ron Jeremy,Steven Seagal,Eric Greitens,Boyd Tinsley,Rhys James,Donovan McNabb,John Besh,Adrian Carrasquillo,Andrew Kreisberg,Harry Knowles,David Keyes,Bruce Weber,Corey Coleman,Jay Asher,Steve Jurvetson,Rick Najera,Patrick Witty,Ed Murray,Daylin Leach,James Franco,Sam Adams,Andy Signore,Robert Moore,Dillon Bates,Tom Ashbrook,Jeff Franklin,Garrison Keillor,Ben Vereen,Daniel Handler,Earl K. Sneed,Paul Haggis,Heath Evans,Lockhart Steele,Roy Price,Paul Shapiro,Stephen Henderson,Andy Savage,John Moore,Blake Farenthold,Amit Singhal,Harvey Weinstein,Charles Schwertner,Jonathan Schwartz,Matt Mondanile,Jason Mojica,Brian Linder,John Hockenberry,Jonathan Kaiman,Mike Germano,Dustin Hoffman,Justin Caldbeck,Curt Anderson,Dan Harmon,Wayne Pacelle,Kaj Larsen,Michael Oreskes,Paul Rosenthal,Nate Boulton,Chris Savino,Javier Palomarez,Jerry Richardson,Matt Dababneh,Eric Weinberger,Michael Meredith,Clay Johnson,Steve Lebsock,Andy Rubin,David Diaz,Tom Sizemore,Jeffrey Klein,Ed Crane,Hadrian Belove,Calvin Smyre,T. Florian Jaeger,Jeff Hoover,Shadie Elnashai,Patrick Meehan,Justin Huff,Daniel Zwerdling,Peter Aalbæk Jensen,Bryan Singer,Curtis Hill,Avital Ronell,Ken Friedman,Matt Manweller,Eric Schneiderman,David Sweeney,Nick Miccarelli,Cody Wilson,Robert Haufrecht,Ken Baker,Leonard Lopate,John Lasseter,David Sawyer,Demos Parneros,Chuck Close,Jeff Kruse,Michael Ferro,David Marchant,Roy Moore,Michael Feinberg,Adam Venit,Israel Horovitz,Tony Cornish,Paul Marciano,Dylan Howard,Keith Raniere,Max Ogden,Eddie Berganza,Zach Fansler,Gordon Edelstein,Jann Wenner,Vincent Cirrincione,Leon Wieseltier,Matt Lauer,Benjamin Genocchio,Steve Butts,Justin Parish,Kendall Fells,Sherman Alexie,Nick Sauer,Joel Kramer,John Kricfalusi,Ron Carlson,Wes Goodman,Randy Baumgardner,Dean Westlake,Seth Sabal,Robert Reece,Adam Berkowitz,Cliff Hite,James Toback,Knight Landesman,Murray Miller,Josh Zepnick,James Levine,Trent Franks,Andrea Ramsey,Andrew Creighton,Albert Schultz,Kevin Braun
2017-10-01,0.6388888888888888,0.4734848484848485,0.0,0.14,0.4032258064516129,0.4166666666666667,0.2,0.0016576,0.4666666666666667,0.09,0.0112,0.0178571428571428,0.0434782608695652,0.32,0.0,0.2272727272727272,14.613729891507669,0.946969696969697,1.3529411764705883,0.0,1.183712121212121,0.4666666666666667,1.8267162364384584,0.0,0.1904761904761904,0.6956521739130435,3.551136363636364,2.403573995313761,0.6,0.2222222222222222,0.08,0.3714285714285714,0.0175438596491228,0.2367424242424242,0.0266666666666666,0.02,0.5543478260869565,0.0,0.13,0.0727272727272727,3.6534324728769167,0.0701754385964912,0.0,0.2413793103448276,0.7564102564102564,3.4,0.0263157894736842,0.01,0.03024,0.1122448979591836,0.037037037037037,0.0,0.0,0.15,0.01,0.05,0.0943396226415094,0.09,0.01,0.0,0.00336,0.03696,0.01,3.6534324728769167,0.703125,0.6486486486486487,0.13,0.0,0.03,0.01,0.2367424242424242,0.03,0.01,0.0,0.1126760563380281,0.0444444444444444,0.0,0.09,0.03024,0.05,0.0,0.3673469387755102,0.0,0.01,16.440446127946124,0.0,0.01,0.0,0.0,0.00112,0.01,0.0,0.0,1.3,0.00448,0.00336,0.6451612903225806,0.0,0.01,0.0,0.00336,0.0,0.01,0.00336,0.0454545454545454,0.0,0.0,0.0392,0.04,0.0,0.04,0.08,0.125,0.01008,0.00672,0.0033152,0.0,0.0049727999999999,0.01,0.00448,0.01,0.0,0.0,0.00112,0.3333333333333333,0.03,0.0,0.01,0.0,0.0,0.02,0.0,0.0531914893617021,0.0,0.02,0.03,0.064516129032258,0.02016,0.0,0.17,0.0,0.01,0.03584,0.0,0.00448,0.0,0.01,0.0,0.02,0.01,0.0,0.00336,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.00672,0.0,0.24,0.0,0.0,0.01,0.00896,0.0,0.0,0.0,0.0,0.00112,0.0,0.0,0.0,0.0,0.06,0.0,0.054054054054054,0.04,0.0,0.01,0.01,0.02
2017-10-08,0.6111111111111112,0.4734848484848485,0.0,0.14,0.3387096774193548,0.5416666666666666,0.1,0.0033152,0.3,0.07,0.01344,0.0357142857142857,0.0434782608695652,0.04,0.0,0.2727272727272727,14.613729891507669,0.946969696969697,1.0588235294117647,0.0,1.183712121212121,0.3333333333333333,1.8267162364384584,0.0,0.238095238095238,0.6956521739130435,16.09848484848485,4.807147990627522,0.44,0.5,0.11,0.3714285714285714,0.0175438596491228,0.0,0.0533333333333333,0.03,1.0869565217391304,0.0,0.16,0.109090909090909,21.9205948372615,0.0701754385964912,0.0,0.2413793103448276,0.7435897435897436,2.75,0.0263157894736842,0.01,0.0324799999999999,0.2448979591836734,0.037037037037037,0.0,0.0,0.15,0.0,0.05,0.1132075471698113,0.08,0.01,0.00448,0.0,0.0448,0.0,3.6534324728769167,0.703125,1.351351351351351,0.16,0.00224,0.04,0.04,0.2367424242424242,0.06,0.02,0.0,0.1690140845070422,0.0555555555555555,0.0,0.77,0.02576,0.03,0.0126582278481012,0.3673469387755102,0.01,0.01,147.96401515151513,0.0,0.01,0.11,0.0,0.00112,0.01,0.0,0.00112,1.2,0.00784,0.0,0.7741935483870968,0.0,0.01,0.0,0.00336,0.0,0.01,0.0,0.0454545454545454,0.0,0.0,0.02352,0.05,0.0,0.04,0.09,0.125,0.01568,0.00784,0.0016576,0.0,0.0,0.01,0.0,0.02,0.01,0.0,0.0,0.6666666666666666,0.04,0.0,0.0,0.0,0.0526315789473684,0.03,0.00112,0.0425531914893617,0.0,0.02,0.01,0.032258064516129,0.02576,0.0,0.17,0.0,0.02,0.07168,0.0,0.00336,0.0,0.0,0.0,0.04,0.01,0.0,0.00784,0.0,0.0,0.00336,0.01,0.0,0.0,0.0,0.0,0.0,0.00896,0.0,0.2,0.0,0.0,0.01,0.00896,0.0,0.00112,0.0,0.0,0.00672,0.0,0.0,0.0,0.0,0.05,0.0,0.081081081081081,0.0,0.0166666666666666,0.0,0.01,0.02
2017-10-15,0.6111111111111112,0.4734848484848485,0.0,0.11,1.0,0.4583333333333333,0.2,0.0016576,0.2666666666666666,0.05,0.01792,0.0178571428571428,0.0434782608695652,0.08,0.0,0.3181818181818182,12.78701365506921,0.946969696969697,1.0588235294117647,0.0,1.183712121212121,0.2666666666666666,1.8267162364384584,0.0,0.3333333333333333,0.782608695652174,4.971590909090909,2.403573995313761,0.32,0.2777777777777778,0.15,0.3714285714285714,0.0350877192982456,0.0,0.08,0.04,0.782608695652174,0.0,0.18,0.109090909090909,10.96029741863075,0.0526315789473684,0.0,0.2068965517241379,0.7692307692307693,2.1,0.0263157894736842,0.01,0.01568,0.1326530612244898,0.1111111111111111,0.0,0.0,0.06,0.01,0.05,0.1509433962264151,0.07,0.01,0.00672,0.00224,0.02464,0.01,3.6534324728769167,0.609375,0.2432432432432432,0.17,0.00672,0.04,0.04,0.0,0.02,0.03,0.0,0.1126760563380281,0.1111111111111111,0.12,0.7,0.02576,0.03,0.0126582278481012,0.4081632653061224,0.01,0.01,67.58850074822296,0.0,0.04,0.33,0.0,0.00448,0.01,0.0,0.00224,1.3,0.01904,0.00672,0.5161290322580645,0.0,0.03,0.0,0.00112,0.0,0.34,0.00448,0.0,0.01,0.0,0.03136,0.04,0.0,0.03,0.08,0.075,0.01008,0.00784,0.0016576,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.00784,0.7619047619047619,0.04,0.0,0.01,0.00112,0.0,0.02,0.0,0.0319148936170212,0.0,0.02,0.01,0.032258064516129,0.01568,0.0,0.18,0.01,0.01,0.01792,0.0,0.01008,0.0,0.01,0.00112,0.02,0.01,0.28,0.00336,0.0,0.0,0.00336,0.09,0.0,0.0,0.0,0.0,0.0,0.00896,0.00112,0.22,0.0,0.0,0.01,0.01568,0.0,0.00112,0.00336,0.0016576,0.00336,0.0,0.12,0.0909090909090909,0.0,0.05,0.00112,0.081081081081081,0.0,0.0166666666666666,0.01,0.01,0.01
2017-10-22,0.7222222222222222,0.4734848484848485,0.0,0.17,0.5483870967741935,0.4583333333333333,0.2,0.0033152,0.3,0.07,0.02576,0.0178571428571428,0.0434782608695652,0.12,5.882352941176471,4.545454545454546,20.093878600823043,0.7102272727272727,1.1176470588235294,0.0,1.65719696969697,0.2666666666666666,1.8267162364384584,0.0,0.238095238095238,4.3478260869565215,3.787878787878788,4.807147990627522,0.28,0.2777777777777778,0.07,0.3428571428571428,0.0175438596491228,0.2367424242424242,0.04,0.02,0.6413043478260869,0.0,0.14,0.0727272727272727,3.6534324728769167,0.0701754385964912,0.0,0.2413793103448276,0.7051282051282052,2.05,0.0263157894736842,0.01,0.0112,0.2346938775510204,1.851851851851852,0.0,0.0,0.07,0.0,0.06,0.1886792452830188,0.09,0.06,0.0112,0.0,0.03024,0.0,3.6534324728769167,0.640625,0.6891891891891891,0.17,0.00112,0.03,0.02,0.2367424242424242,0.05,0.02,0.0,0.0845070422535211,0.0222222222222222,0.06,0.21,0.0336,0.03,0.0126582278481012,0.3877551020408163,0.01,0.01,20.093878600823043,0.0,0.03,0.11,0.0,0.0,0.0,0.0,0.0,1.1,0.028,0.00336,0.4193548387096774,0.0,0.01,0.0,0.0112,0.01,0.18,0.00112,0.0454545454545454,0.0,0.03,0.04256,0.03,0.0,0.05,0.1,0.125,0.01008,0.00112,0.0,0.0,0.0016576,0.01,0.00336,0.01,0.01,0.0,0.00112,0.4761904761904761,0.05,0.0,0.01,0.0,0.0526315789473684,0.02,0.0,0.0319148936170212,0.0,0.1,0.02,0.032258064516129,0.01456,0.0,0.18,0.06,0.01,0.01904,0.0,0.00448,0.0,0.0,0.00112,0.01,0.01,0.16,0.00448,0.0,0.0,0.0,0.18,0.0,0.29,0.0,0.0,0.01,0.00672,0.0,0.21,0.0,0.0,0.01,0.00896,0.0,0.0,0.0,0.0016576,0.00448,0.0,0.02,9.090909090909092,0.17,0.04,0.0,0.054054054054054,0.04,0.0166666666666666,0.0,0.02,0.01
2017-10-29,0.6666666666666666,0.4734848484848485,0.0,0.27,0.4193548387096774,0.375,0.2,0.0,0.3,0.09,0.01008,0.0178571428571428,0.0434782608695652,0.16,1.5294117647058822,0.9545454545454546,14.613729891507669,0.7102272727272727,1.2941176470588236,0.0,1.893939393939394,0.2666666666666666,168.05789375233817,0.0,0.3809523809523809,0.6086956521739131,3.551136363636364,2.403573995313761,4.0,0.2222222222222222,0.33,0.4285714285714285,0.0175438596491228,5.445075757575758,0.04,0.02,0.4347826086956521,0.0,0.14,0.0727272727272727,3.6534324728769167,0.0701754385964912,0.0,0.3793103448275862,0.9487179487179488,2.0,0.0263157894736842,0.0,0.01344,0.1020408163265306,0.2962962962962963,0.00112,0.0,0.04,0.01,0.06,0.2830188679245283,0.11,0.01,0.00448,0.00336,0.02912,0.01,3.6534324728769167,1.375,0.2837837837837837,0.19,0.00336,0.04,0.04,0.2367424242424242,0.06,0.03,0.0,0.0845070422535211,0.0222222222222222,0.03,0.16,0.03472,0.02,0.0,0.4081632653061224,0.01,0.0,14.613729891507669,0.0,0.02,0.04,0.01,0.00336,0.01,0.0,0.00112,10.0,0.00336,0.00672,0.2903225806451613,0.0,0.01,0.35,0.00672,0.0,0.1,0.00112,0.0454545454545454,0.01,0.02,0.03808,0.03,0.0,0.03,0.06,0.125,0.01008,0.00784,0.0016576,0.0,0.0,0.07,0.00336,0.01,0.0,0.0,0.00784,1.7142857142857142,0.05,0.0,0.01,0.0,0.0,0.02,0.0,0.0319148936170212,0.0,0.08,0.03,0.032258064516129,0.01904,0.0,0.19,0.01,0.02,0.00784,0.0,0.00448,0.3181818181818182,0.01,0.00336,0.02,0.03,0.08,0.01008,0.01,0.00112,0.00112,0.1,0.0,0.13,0.0,0.0,0.0,0.00112,0.01232,0.2,0.0,0.0,0.01,0.00896,0.0,0.00112,0.00336,0.0016576,0.0,0.0,0.01,2.0,0.13,0.06,0.0,0.081081081081081,0.0,0.0,0.0,0.02,0.02
2017-11-05,0.6111111111111112,14.44128787878788,0.0,0.16,0.4677419354838709,0.4166666666666667,0.1,0.0033152,0.2666666666666666,0.05,0.01232,0.0,0.0434782608695652,0.12,0.4705882352941176,0.4545454545454545,12.78701365506921,0.7102272727272727,1.0588235294117647,0.0,1.4204545454545454,0.2666666666666666,58.45491956603067,0.0,4.095238095238095,0.4347826086956521,4.024621212121213,2.403573995313761,2.48,0.2222222222222222,0.18,0.4857142857142857,0.0175438596491228,4.024621212121213,1.3333333333333333,0.02,0.532608695652174,0.0,0.14,0.0909090909090909,3.6534324728769167,0.0526315789473684,3.6534324728769167,3.4482758620689653,0.7692307692307693,5.0,0.0526315789473684,0.01,0.0112,0.1530612244897959,0.2222222222222222,0.00112,0.2446808510638297,0.03,0.01,0.05,0.3018867924528302,0.1,0.0,0.00672,0.0,0.03696,0.0,3.6534324728769167,1.1875,0.1216216216216216,0.19,0.00672,0.02,0.03,0.2367424242424242,0.05,0.04,0.0,0.0704225352112676,0.0444444444444444,0.02,0.44,0.0459199999999999,0.03,0.0126582278481012,0.5306122448979592,0.01,0.01,9.133581182192293,0.0,0.03,0.02,0.0,0.02016,0.0,0.0,0.0,3.5,0.00336,0.00896,0.3225806451612903,0.0,0.0,0.07,0.00672,0.0,0.07,0.0,0.0454545454545454,0.01,0.0,0.056,0.04,0.03,0.04,0.1,0.1,0.0112,0.00336,0.0,0.0,0.0,0.15,0.0,0.01,0.01,0.0,0.00448,1.1428571428571428,0.03,0.0,0.01,0.0,0.0,0.02,0.0,0.0319148936170212,0.0,0.04,0.03,0.032258064516129,0.02016,0.0,0.18,0.02,0.02,0.00672,18.267162364384586,0.0056,1.681818181818182,0.0,0.05488,0.02,0.07,0.96,0.00336,0.05,0.0,0.0,0.43,0.0,0.06,0.0,0.02464,0.0,0.00784,0.00336,0.2,0.0,0.0,0.01,0.0056,0.0,0.00112,0.0,0.0,0.00896,0.0,0.0,0.7272727272727273,0.04,0.04,0.0,0.054054054054054,0.04,0.0,0.0,0.01,0.02
2017-11-12,0.6388888888888888,3.077651515151516,31.054176019453795,0.15,0.4193548387096774,0.375,0.1,0.0,0.2333333333333333,0.06,0.01904,0.0178571428571428,0.0434782608695652,0.12,0.2941176470588235,0.5909090909090909,21.9205948372615,1.4204545454545454,1.1176470588235294,0.0,3.551136363636364,0.2666666666666666,18.267162364384586,0.0,4.761904761904762,0.3478260869565217,6.865530303030303,4.807147990627522,0.88,0.1666666666666666,0.07,0.4571428571428571,0.0175438596491228,13.731060606060606,0.48,0.02,0.3804347826086957,0.0,0.2,0.0727272727272727,3.6534324728769167,0.0701754385964912,1.8267162364384584,1.1724137931034482,1.141025641025641,2.3,0.0526315789473684,0.0,0.01568,0.1122448979591836,0.1666666666666666,0.0,1.0638297872340423,0.02,0.01,0.06,0.2641509433962264,0.09,0.17,0.00672,0.0,0.03136,0.01,3.6534324728769167,0.796875,0.081081081081081,0.31,0.0,0.03,0.03,0.0,0.05,0.02,0.0,0.056338028169014,0.0333333333333333,0.03,0.19,0.02128,0.02,0.0126582278481012,0.5306122448979592,0.02,0.01,5.480148709315375,0.0,0.02,0.02,0.06,0.00672,0.0,0.0,0.0,1.5,0.02688,0.00448,0.2580645161290322,0.01,0.1,0.02,0.02128,0.0,0.04,0.00112,0.0454545454545454,0.0,0.0,0.0224,0.04,0.03,0.05,0.08,2.5,0.00336,0.00336,0.0095312,0.0112,0.0016576,0.04,0.01568,0.01,0.0,0.0,0.02016,0.4285714285714285,0.04,0.0108695652173913,0.02,0.0,0.0,0.04,0.0,0.0319148936170212,0.0,0.05,0.02,0.064516129032258,0.02016,0.0,0.22,0.04,0.02,0.01904,36.53432472876917,0.00336,4.545454545454546,0.01,0.03584,0.02,0.01,0.28,0.00784,0.18,0.0,0.0,0.19,0.01,0.06,0.0,0.00448,0.0,0.00448,0.0,0.2,0.0,0.0,0.01,0.00896,1.8867924528301887,0.00112,0.0,0.0,0.00448,0.0,0.01,0.4545454545454545,0.02,0.52,0.0,0.054054054054054,0.04,0.0166666666666666,0.01,0.03,0.01
2017-11-19,0.6944444444444444,1.4204545454545454,10.96029741863075,0.12,0.3548387096774194,4.166666666666667,0.2,0.0,0.2666666666666666,0.05,0.02016,1.7857142857142858,0.0434782608695652,0.12,0.4117647058823529,0.3636363636363636,14.613729891507669,2.3674242424242427,0.8235294117647058,0.0,0.946969696969697,3.6,7.3068649457538335,0.0,0.7142857142857143,0.3478260869565217,6.62878787878788,2.403573995313761,1.24,0.2777777777777778,0.13,0.4857142857142857,0.0175438596491228,1.893939393939394,0.1066666666666666,0.01,0.8260869565217391,42.01447343808454,0.13,0.0909090909090909,3.6534324728769167,0.0350877192982456,0.0,0.3448275862068966,0.9102564102564102,1.7,0.0263157894736842,0.0,0.01456,0.1632653061224489,0.1111111111111111,0.0,0.0851063829787234,0.02,0.0,0.05,0.2641509433962264,0.09,0.05,0.00448,0.0,0.04032,0.01,3.6534324728769167,0.703125,0.0675675675675675,0.2,0.00336,0.01,0.02,0.0,0.05,0.02,0.0,0.056338028169014,0.0222222222222222,0.01,0.11,0.02352,0.03,0.0126582278481012,0.4897959183673469,0.01,0.01,5.480148709315375,0.0,0.01,0.01,0.03,0.00336,0.01,0.0,0.0,1.0,0.01008,0.00112,0.2903225806451613,0.01,0.02,0.03,0.00672,0.0,0.04,0.00448,0.0,0.0,0.0,0.02912,0.02,0.0,0.04,0.09,0.275,0.0112,0.00448,0.0,0.00448,0.0049727999999999,0.03,0.0,0.0,0.0,0.0,0.02688,0.1904761904761904,0.04,0.0,0.01,0.00336,0.0526315789473684,0.03,0.0,0.0425531914893617,0.0,0.04,0.01,3.225806451612903,0.028,0.0,0.11,0.0,0.02,0.02576,12.78701365506921,0.00112,0.9090909090909092,0.0,0.06384,0.02,0.02,0.08,0.00112,0.02,0.0,0.0,0.08,0.0,0.02,0.0,0.01008,0.0,0.0,0.00112,0.12,0.0,0.0,0.01,0.02016,1.6226415094339623,0.00448,0.0,0.0,0.00784,0.0,0.0,0.2727272727272727,0.0,0.77,0.0,0.054054054054054,0.0,0.0166666666666666,0.0,0.02,0.01
2017-11-26,0.6944444444444444,0.946969696969697,3.6534324728769167,0.13,0.4354838709677419,1.2916666666666667,0.2,0.0,0.1666666666666666,0.1,0.00784,0.3214285714285714,0.0434782608695652,0.12,0.7058823529411765,0.2727272727272727,12.78701365506921,0.946969696969697,1.0,0.0,1.4204545454545454,6.666666666666667,5.480148709315375,0.0,0.4285714285714285,0.9130434782608696,4.4981060606060606,2.403573995313761,1.08,0.2777777777777778,0.08,0.4285714285714285,0.0175438596491228,0.4734848484848485,0.08,0.04,0.532608695652174,5.480148709315375,0.19,0.109090909090909,3.6534324728769167,0.0350877192982456,0.0,0.2068965517241379,0.7435897435897436,1.55,0.0526315789473684,0.01,0.02128,0.1632653061224489,0.1111111111111111,0.00112,0.3723404255319149,0.04,0.0,0.22,0.1886792452830188,0.08,0.01,0.0,0.0,0.03584,0.01,3.6534324728769167,0.625,0.054054054054054,0.19,0.00336,0.04,0.04,12.547348484848486,0.04,0.03,0.0,0.056338028169014,0.0444444444444444,0.01,0.14,0.02464,0.02,0.0126582278481012,0.4489795918367347,0.5,0.02,3.6534324728769167,0.0,0.01,0.01,0.03,0.0,0.07,0.0,0.0,1.0,0.00672,0.00336,0.4838709677419355,0.0,0.0,0.05,0.00448,0.01,0.03,0.00336,0.0,0.01,0.01,0.0459199999999999,0.03,0.0,0.23,0.1,0.15,0.00448,0.00784,0.0,0.0,0.0,0.02,0.00112,0.01,0.1,0.0,0.00112,0.6190476190476191,0.03,0.0108695652173913,0.01,0.0,0.0,0.11,0.00112,0.0319148936170212,0.0,0.06,0.02,0.6129032258064516,0.02912,0.0,0.18,0.01,0.01,0.00784,9.133581182192293,0.00448,0.2727272727272727,0.43,0.01232,0.05,0.02,0.04,0.00336,0.01,0.0,0.00336,0.07,0.0,0.03,231.2299033466403,0.0,0.01,0.01568,0.0,0.19,0.0,0.0,0.01,0.00896,0.2075471698113207,0.00448,0.0,0.0,0.00784,0.0,0.0,0.0909090909090909,0.01,0.12,0.01232,0.081081081081081,0.0,0.0166666666666666,0.0,0.02,0.02
2017-12-03,0.5833333333333334,0.946969696969697,20.093878600823043,0.14,0.4677419354838709,0.75,0.3,0.0,0.2,0.1,0.01232,0.1071428571428571,0.0869565217391304,0.12,0.1764705882352941,0.3181818181818182,21.9205948372615,0.7102272727272727,1.0,0.0,0.946969696969697,1.2,5.480148709315375,0.0,0.6190476190476191,0.4782608695652174,4.4981060606060606,2.403573995313761,0.48,0.2222222222222222,0.09,0.4571428571428571,0.0175438596491228,0.2367424242424242,0.0666666666666666,0.04,0.3369565217391304,1.8267162364384584,0.16,0.0909090909090909,3.6534324728769167,0.0526315789473684,0.0,0.2413793103448276,0.7051282051282052,1.45,0.0526315789473684,0.0,0.01568,0.1836734693877551,0.0925925925925925,0.0,0.0744680851063829,0.02,0.01,0.4,0.1132075471698113,0.09,0.02,0.0,0.0,0.03024,0.01,5.480148709315375,0.5625,0.027027027027027,0.24,0.01008,0.37,0.03,1.183712121212121,0.04,0.03,0.0,0.0422535211267605,0.0444444444444444,0.01,0.18,0.03472,0.04,0.0126582278481012,0.5102040816326531,0.62,0.01,3.6534324728769167,0.0,0.24,0.01,0.02,0.00112,0.91,0.0,0.00112,4.7,0.04032,0.00448,0.3548387096774194,0.01,0.01,0.02,0.00784,0.0,0.02,0.00112,0.0,0.25,0.0,0.04816,0.03,0.0,0.06,0.09,0.125,0.01456,0.00784,0.0,0.00336,0.0,0.05,0.0,0.02,0.04,0.0,0.00336,4.761904761904762,0.03,0.0108695652173913,0.01,0.01456,0.0526315789473684,0.03,0.0,0.0212765957446808,0.0,0.03,0.6,0.2903225806451613,0.02128,0.0,0.15,0.0,0.01,0.01232,18.267162364384586,0.0,1.0,0.06,0.00448,0.02,0.13,0.04,0.01344,0.0,0.0,0.00336,0.04,0.0,0.03,30.059887435063235,0.0,0.0,0.00784,0.0,0.16,0.0,0.0,0.02,0.00336,0.0566037735849056,0.0,0.01456,0.0,0.00448,0.01,0.0,0.3636363636363636,0.01,0.15,0.00896,2.702702702702702,4.0,0.0,0.0,0.03,0.02
