date,Sean Hannity,Eric Bolling,Charles Payne,Harry Knowles,Lockhart Steele,Knight Landesman,Leon Wieseltier,Michael Hafford,Jann Wenner,Vince Ingenito,Matt Lauer,John Hockenberry,Donovan McNabb,Tavis Smiley,Jonathan Schwartz,Don Hazen,Rhys James,Mike Germano,H. Brandt Ayers,Robert Moore,Antonin Kratochvil,Nick Sauer,Mel Watt,Harvey Weinstein,Eric Schneiderman,Clay Johnson,Cristina Garcia,Jeffrey Klein,Corey Lewandowski,Bobby Scott,Ed Murray,Dan Johnson,Steven Wilder Striegel,Chase Finlay,Asia Argento,Rick Day,Morgan Freeman,Boyd Tinsley,Ameer Vann,John Kricfalusi,Richard DeVaul,Sam Isaly,Robert Scoble,Dave McClure,Travis Kalanick,Avital Ronell,Mark Mellor,William Jacoby,Robert Reece,Jorge Domínguez,Sean Hutchison,Brent Hamilton,Phillip Deitrich,John Kenneally
2016-07-03,0.39513197407934253,0.0,0.03389830508474576,0.02,0.01,0.01,0.0,0.01008,0.01,0.0,0.0,0.01,0.05,0.12,0.01,0.0,0.07,0.0,0.0,0.16,0.0,0.01,0.0,0.0,0.0,0.02016,0.11,0.0063,0.12121212121212122,0.06,0.03,0.15384615384615385,0.0,0.01,0.0,0.12,2.9664562618569255,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.01512,0.0,0.00504,0.0,0.0
2016-07-10,0.5926979611190137,0.0,0.01694915254237288,0.01,0.01,0.0,0.0,0.0,0.01,0.0,1.831145840652423,0.0,0.07,0.08,0.01,0.0,0.01,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.035280000000000006,0.1,0.01134,0.15151515151515152,0.05,0.03,0.11538461538461539,0.0,0.01,0.0,0.13,2.9664562618569255,0.03,0.0,0.02,0.0,0.017640000000000003,0.02,0.01,0.075,0.01,0.0,0.0063,0.01134,0.008820000000000001,0.01,0.0063,0.0,0.0
2016-07-17,0.9878299351983563,0.0,0.03389830508474576,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.04,0.12,0.01,0.0,0.03,0.0,0.0,0.13,0.0,0.0,0.01134,0.0,0.045454545454545456,0.032760000000000004,0.11,0.01008,0.24242424242424243,0.06,0.02,0.11538461538461539,0.0,0.0,0.0,0.14,2.9664562618569255,0.02,0.014705882352941176,0.01,0.0,0.0063,0.01,0.01,0.05,0.01,0.0,0.0,0.0,0.0063,0.0,0.01134,0.0,0.0
2016-07-24,1.1853959222380275,0.0,0.05084745762711865,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.06,0.08,0.01,0.0,0.02,0.0063,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.02646,0.11,0.01386,0.09090909090909091,0.18,0.04,0.11538461538461539,0.0,0.01,0.0,0.14,2.9664562618569255,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.05,0.01,0.0,0.0,0.0,0.00756,0.0,0.0,0.0,0.0
2016-07-31,0.7902639481586851,0.0,0.03389830508474576,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.09,0.08,0.01,0.0,0.02,0.0,0.00504,0.14,0.0,0.0,0.0063,0.0,0.0,0.0063,0.1,0.0,0.30303030303030304,0.06,0.03,0.11538461538461539,0.0,0.01,0.0,0.1,2.9664562618569255,0.0,0.0,0.0,0.008820000000000001,0.0,0.01,0.01,0.15,0.02,0.0,0.017640000000000003,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-07,0.9878299351983563,0.0,0.01694915254237288,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.08,0.02,0.01,0.01,0.00756,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01134,0.09090909090909091,0.04,0.03,0.15384615384615385,0.0,0.01,0.0,0.11,2.9664562618569255,0.0,0.0,0.02,0.0,0.0,0.02,0.01,0.05,0.0,0.0,0.0,0.016380000000000002,0.01008,0.0,0.0,0.0,0.0
2016-08-14,0.7902639481586851,0.0,0.05084745762711865,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.05,0.04,0.02,0.0,0.02,0.02268,0.0,0.12,0.0,0.0,0.0126,0.0,0.0,0.028980000000000002,0.09,0.0,0.24242424242424243,0.06,0.02,0.15384615384615385,0.0,0.0,0.0,0.11,2.9664562618569255,0.01,0.0,0.02,0.008820000000000001,0.0,0.01,0.02,0.1,0.0,0.0,0.0,0.0126,0.016380000000000002,0.0,0.0063,0.0,0.0
2016-08-21,0.7902639481586851,0.0,0.03389830508474576,0.02,0.0,0.0,0.01,0.0,0.01,0.0,1.831145840652423,0.01,0.05,0.04,0.01,0.0,0.02,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.045454545454545456,0.016380000000000002,0.11,0.0126,0.06060606060606061,0.06,0.03,0.11538461538461539,0.0,0.0,0.0,0.12,2.9664562618569255,0.01,0.0,0.01,0.0,0.0,0.01,0.02,0.1,0.01,0.0,0.0,0.0,0.00756,0.01,0.0,0.0,0.016380000000000002
2016-08-28,0.5926979611190137,0.0,0.03389830508474576,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.04,0.01,0.0,0.02,0.0,0.0,0.13,0.0,0.01,0.0,0.0,0.0,0.0315,0.11,0.0063,0.09090909090909091,0.08,0.02,0.11538461538461539,0.0,0.0,0.0,0.14,2.9664562618569255,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.075,0.01,0.0,0.0,0.02394,0.0,0.0,0.0126,0.0,0.0
2016-09-04,0.5926979611190137,0.0,0.03389830508474576,0.01,0.0,0.0,0.0,0.0,0.01,0.0,5.4934375219572695,0.01,0.11,0.04,0.03,0.0,0.01,0.00504,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0252,0.14,0.0126,0.030303030303030304,0.07,0.03,0.11538461538461539,0.0,0.01,0.0,0.1,2.9664562618569255,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.075,0.0,0.0,0.01008,0.0,0.0,0.0,0.0,0.0,0.0
